prev_value,lpi_score,event_count,avg_tone,avg_goldstein
4159638320.908,4.2,3674,-1.7952318546673698,1.1387316276537833
171.178,4.2,3674,-1.7952318546673698,1.1387316276537833
647491.953,4.2,3674,-1.7952318546673698,1.1387316276537833
9735330796.146,4.2,3674,-1.7952318546673698,1.1387316276537833
5137955304.237,4.2,3674,-1.7952318546673698,1.1387316276537833
4159638320.908,4.2,3674,-1.7952318546673698,1.1387316276537833
4407755.268,4.2,3674,-1.7952318546673698,1.1387316276537833
4407755.268,4.2,3674,-1.7952318546673698,1.1387316276537833
107560010.58,4.2,3674,-1.7952318546673698,1.1387316276537833
171.178,4.2,3674,-1.7952318546673698,1.1387316276537833
9734683304.194,4.2,3674,-1.7952318546673698,1.1387316276537833
647491.953,4.2,3674,-1.7952318546673698,1.1387316276537833
105773.784,4.2,3674,-1.7952318546673698,1.1387316276537833
4407755.268,4.2,3674,-1.7952318546673698,1.1387316276537833
4159478402.565,4.2,3674,-1.7952318546673698,1.1387316276537833
5137573504.412,4.2,3674,-1.7952318546673698,1.1387316276537833
9734683304.194,4.2,3674,-1.7952318546673698,1.1387316276537833
105773.784,4.2,3674,-1.7952318546673698,1.1387316276537833
4407755.268,4.2,3674,-1.7952318546673698,1.1387316276537833
8853.872,4.2,3674,-1.7952318546673698,1.1387316276537833
1729386046.59,4.2,3674,-1.7952318546673698,1.1387316276537833
451416.409,4.2,3674,-1.7952318546673698,1.1387316276537833
1036679.745,4.2,3674,-1.7952318546673698,1.1387316276537833
17674494932.299,4.2,3674,-1.7952318546673698,1.1387316276537833
189040763.463,4.2,3674,-1.7952318546673698,1.1387316276537833
22413602671.143,4.2,3674,-1.7952318546673698,1.1387316276537833
24370039.298,4.2,3674,-1.7952318546673698,1.1387316276537833
7782018.275,4.2,3674,-1.7952318546673698,1.1387316276537833
1878637944.781,4.2,3674,-1.7952318546673698,1.1387316276537833
451416.409,4.2,3674,-1.7952318546673698,1.1387316276537833
17674494932.299,4.2,3674,-1.7952318546673698,1.1387316276537833
400888377.434,4.2,3674,-1.7952318546673698,1.1387316276537833
